LOCATION,DATE,AWND,PRCP,TMAX,TMIN,TOBS,ADVERSE_CONDITIONS
"(40.89174, -74.39635)",2018-06-01,1.625,1.8,20.6,16.7,18.9,0
"(40.89174, -74.39635)",2018-06-02,3.4875,5.3,28.9,18.9,21.7,0
"(40.89174, -74.39635)",2018-06-03,4.999999999999999,14.0,29.4,14.4,15.0,0
"(40.89174, -74.39635)",2018-06-04,2.8875,16.8,18.9,10.6,11.1,0
"(40.89174, -74.39635)",2018-06-05,3.4875000000000003,0.0,23.3,11.1,12.2,0
"(40.89174, -74.39635)",2018-06-06,2.5375,0.0,23.3,11.7,13.3,0
"(40.89174, -74.39635)",2018-06-07,2.9374999999999996,0.0,21.7,13.3,14.4,0
"(40.89174, -74.39635)",2018-06-08,2.6750000000000003,0.0,22.2,11.7,13.3,0
"(40.89174, -74.39635)",2018-06-09,2.3124999999999996,0.0,28.9,12.8,17.8,0
"(40.89174, -74.39635)",2018-06-10,1.8625,0.0,26.7,16.7,18.9,0
"(40.89174, -74.39635)",2018-06-11,2.7125000000000004,3.0,20.0,13.3,13.9,0
"(40.89174, -74.39635)",2018-06-12,3.275,0.0,23.3,8.3,8.9,0
"(40.89174, -74.39635)",2018-06-13,3.2125,0.0,24.4,8.9,16.7,0
"(40.89174, -74.39635)",2018-06-14,5.6,2.3,24.4,16.7,18.3,0
"(40.89174, -74.39635)",2018-06-15,3.7750000000000004,0.0,28.3,15.0,16.1,0
"(40.89174, -74.39635)",2018-06-16,2.4750000000000005,0.0,25.0,12.8,16.1,0
"(40.89174, -74.39635)",2018-06-17,2.325,0.0,28.3,13.3,15.0,0
"(40.89174, -74.39635)",2018-06-18,4.325,0.0,32.2,15.0,18.9,0
"(40.89174, -74.39635)",2018-06-19,3.8,5.3,32.2,18.9,24.4,0
"(40.89174, -74.39635)",2018-06-20,2.4,0.0,30.0,16.1,17.8,0
"(40.89174, -74.39635)",2018-06-21,2.5875000000000004,4.3,30.0,17.2,18.3,0
"(40.89174, -74.39635)",2018-06-22,3.8125,0.0,29.4,18.3,18.3,0
"(40.89174, -74.39635)",2018-06-23,3.0125,0.8,23.9,15.6,16.1,0
"(40.89174, -74.39635)",2018-06-24,2.85,0.8,20.0,16.1,19.4,0
