"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-03-02",,,,,,,"1.50",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-03-03",,,,,,,"1.16",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-16",,,,,,,"1.36",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-17",,,,,,,"2.81",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-19",,,,,,,"0.43",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-20",,,,,,,"0.10",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-25",,,,,,,"0.10",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-26",,,,,,,"0.50",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-28",,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-04-29",,,,,,,"0.46",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-01",,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-04",,,,,,,"0.18",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-11",,,,,,,"0.17",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-12",,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-13",,,,,,,"0.20",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-14",,,,,,,"0.17",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-16",,,,,,,"0.40",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-17",,,,,,,"0.80",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-18",,,,,,,"0.12",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-19",,,,,,,"0.20",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-20",,,,,,,"0.42",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-23",,,,,,,"0.49",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2018-05-28",,,,,,,"0.16",",,N",,,,,,,,,,,,,,,,
