LOCATION,STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,ADVERSE_CONDITIONS
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-01,1.625,,,,1.8,",,7,0700",,,20.6,",,7",16.7,",,7",18.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-02,3.4875,,,,5.3,",,7,0700",,,28.9,",,7",18.9,",,7",21.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-03,4.999999999999999,,,,14.0,",,7,0700",,,29.4,",,7",14.4,",,7",15.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-04,2.8875,,,,16.8,",,7,0700",,,18.9,",,7",10.6,",,7",11.1,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-05,3.4875000000000003,,,,0.0,"T,,7,0700",,,23.3,",,7",11.1,",,7",12.2,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-06,2.5375,,,,0.0,",,7,0700",,,23.3,",,7",11.7,",,7",13.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-07,2.9374999999999996,,,,0.0,",,7,0700",,,21.7,",,7",13.3,",,7",14.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-08,2.6750000000000003,,,,0.0,",,7,0700",,,22.2,",,7",11.7,",,7",13.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-09,2.3124999999999996,,,,0.0,",,7,0700",,,28.9,",,7",12.8,",,7",17.8,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-10,1.8625,,,,0.0,"T,,7,0700",,,26.7,",,7",16.7,",,7",18.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-11,2.7125000000000004,,,,3.0,",,7,0700",,,20.0,",,7",13.3,",,7",13.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-12,3.275,,,,0.0,",,7,0700",,,23.3,",,7",8.3,",,7",8.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-13,3.2125,,,,0.0,"T,,7,0700",,,24.4,",,7",8.9,",,7",16.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-14,5.6,,,,2.3,",,7,0700",,,24.4,",,7",16.7,",,7",18.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-15,3.7750000000000004,,,,0.0,",,7,0700",,,28.3,",,7",15.0,",,7",16.1,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-16,2.4750000000000005,,,,0.0,",,7,0700",,,25.0,",,7",12.8,",,7",16.1,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-17,2.325,,,,0.0,",,7,0700",,,28.3,",,7",13.3,",,7",15.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-18,4.325,,,,0.0,",,7,0700",,,32.2,",,7",15.0,",,7",18.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-19,3.8,,,,5.3,",,7,0700",,,32.2,",,7",18.9,",,7",24.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-20,2.4,,,,0.0,",,7,0700",,,30.0,",,7",16.1,",,7",17.8,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-21,2.5875000000000004,,,,4.3,",,7,0700",,,30.0,",,7",17.2,",,7",18.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-22,3.8125,,,,0.0,",,7,0700",,,29.4,",,7",18.3,",,7",18.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-23,3.0125,,,,0.8,",,7,0700",,,23.9,",,7",15.6,",,7",16.1,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-24,2.85,,,,0.8,",,7,0700",,,20.0,",,7",16.1,",,7",19.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-25,4.3375,,,,5.1,",,7,0700",,,28.9,",,7",18.9,",,7",19.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-06-26,3.6999999999999997,,,,0.0,",,7,0700",,,26.7,",,7",13.9,",,7",18.3,",,7,0700",0
